id,client_id,cvm_fund_id,cvm_class_id,fund_name,cnpj,pl,monthly_revenue,product_type,fund_type_raw,annual_fee_rate,manager_name,administrator_name,status,is_user_fund,regulation_url,revenue_formula,revenue_source,updated_at
fedc7a7b6b6145969b4b353796a107c5,dd767ffef9584b1d8bd32592d414332b,70685,15495,PEGASUS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO IE,43.237.417/0001-85,1310588453.07,327647.11,FIF,FIF,0.30,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_53098_144312_2025_06.pdf,PL x taxa anual / 12,Calculado por regra do tipo FIF,2026-03-17T12:47:58
3011d55aa679490d9a2b222734534107,dd767ffef9584b1d8bd32592d414332b,83692,24534,PEGASUS II FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO,62.062.346/0001-71,0.00,0.00,FIF,FIF,0.30,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Liquidação,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_90885_154068_2025_08.pdf,PL x taxa anual / 12,Calculado por regra do tipo FIF,2026-03-17T12:47:58
084a14d5f6b54e8fa1ad6d028a2ed06a,dd767ffef9584b1d8bd32592d414332b,11185,30143,PHD FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,39.270.085/0001-63,35552866.31,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:14
ea67826aa8e846939faaa10a53f81c9e,dd767ffef9584b1d8bd32592d414332b,11217,30165,PHD FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,39.769.038/0001-69,208481207.25,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_6983_151773_2025_07.pdf,,CVM Dados Abertos,2026-03-17T12:15:14
bf2b3dc180a84a42bbe4fe5a1a63f19d,dd767ffef9584b1d8bd32592d414332b,10872,29959,PLATINUM FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,35.654.837/0001-39,28776348.57,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:14
7db08983c8544d789f189fe40de8fdcd,dd767ffef9584b1d8bd32592d414332b,9239,29192,PUMA FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS NÃO PADRONIZADOS MULTISSETORIAL,13.805.152/0001-03,255684694.33,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_1468_183524_2026_03.pdf,,CVM Dados Abertos,2026-03-17T12:15:14
deefea698cb6468887e51f6122da1c86,dd767ffef9584b1d8bd32592d414332b,47684,5021,REDMOND FUNDO DE INVESTIMENTO DE AÇÕES,18.206.970/0001-03,338528809.89,84632.20,FIF,FIF,0.30,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_28675_141908_2025_06.pdf,PL x taxa anual / 12,Calculado por regra do tipo FIF,2026-03-17T12:47:58
a2ae986d1153499e90046eafa5739990,dd767ffef9584b1d8bd32592d414332b,11904,30597,SC FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,45.523.882/0001-08,40981324.07,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:14
f064ff1a9c314f83b0b7249d1d7183d6,dd767ffef9584b1d8bd32592d414332b,12780,31231,SFT CI FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,52.259.540/0001-98,110974301.81,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_75967_152438_2025_07.pdf,,CVM Dados Abertos,2026-03-17T12:15:14
49362246af1f4344aca8d54e60b7d1f4,dd767ffef9584b1d8bd32592d414332b,10287,29663,SIGMA CREDIT FEEDER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,29.461.840/0001-33,22302958.30,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:14
674a59e16c9c461ca0e7b1d8d81d4b65,dd767ffef9584b1d8bd32592d414332b,10248,29641,SIGMA CREDIT FUNDO DE INVESTIMENTO EM DIREITOS CREDITORIOS,29.236.426/0001-20,122176995.57,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:14
7817d21b2c214b1bb366b3f96c2f9afd,dd767ffef9584b1d8bd32592d414332b,9506,29286,SPREAD INVESTIMENTOS FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,18.911.897/0001-70,539852247.21,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_77714_165524_2025_10.pdf,,CVM Dados Abertos,2026-03-17T12:15:14
cfc83a7a1aff480e92122fc4e9d3c72d,dd767ffef9584b1d8bd32592d414332b,11193,30150,STARTER FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,39.380.171/0001-29,216691551.28,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://cvmweb.cvm.gov.br/SWB/default.asp?sg_sistema=fundosreg,,CVM Dados Abertos,2026-03-17T12:15:14
69a08e890a364304b96c52a4738b4ac8,dd767ffef9584b1d8bd32592d414332b,11374,30268,SUBLIME FUNDO DE  INVESTIMENTO EM COTAS DE FUNDO DE INVESTIMENTO EM DIREITOS  CREDITÓRIOS,41.251.934/0001-83,21992512.66,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_77479_180248_2026_02.pdf,,CVM Dados Abertos,2026-03-17T12:15:14
9109f9eaa6434f72b7a5e322ecd1a28b,dd767ffef9584b1d8bd32592d414332b,13146,31524,SUPER BOX FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS,54.028.640/0001-39,145734488.77,,FIDC,FIDC,,M8 PARTNERS GESTORA DE RECURSOS LTDA.,QI CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,Em Funcionamento Normal,0,https://web.cvm.gov.br/app/fundosweb/fundos/regulamento/obter/por/arquivo/DOC_REGUL_80470_172480_2025_12.pdf,,CVM Dados Abertos,2026-03-17T12:15:14
