cnpj;DT_COMPTC;VL_PATRIM_LIQ
01623379000159;2026-03-12;844273651.45
01623535000181;2026-03-12;1341826937.71
01623538000115;2026-03-12;29636466.90
01623857000120;2026-03-12;13789591.96
01624111000131;2026-03-12;13870758.07
01624178000176;2026-03-12;8667507.89
01624316000117;2026-03-12;19977809310.85
01625681000146;2026-03-12;13258313.20
01626952000188;2026-03-12;42131459.99
01626961000179;2026-03-12;4171812271.66
01627516000123;2026-03-12;2062843251.07
01630152000130;2026-03-12;787090811.57
01630558000113;2026-03-12;65515977226.18
01631246000124;2026-03-10;198651714.39
01634642000105;2026-03-12;1145778780.86
01643271000128;2026-03-12;57553298.15
01655956000194;2026-03-12;1575251061.28
01656101000188;2026-03-12;351903380.14
01699688000102;2026-03-12;240051075.31
01745808000160;2026-03-12;83066000.48
01757217000103;2026-03-12;2624667.63
01776200000101;2026-03-12;29616532.89
01789400000190;2026-03-13;4643649.11
01822655000108;2026-03-12;2911889034.45
01823373000125;2026-03-12;103828777.15
01873685000143;2026-03-12;4340069908.38
01884229000107;2026-03-12;1501829971.80
01889170000131;2026-03-12;18299463.59
01912197000106;2026-03-13;13630418003.97
01960341000171;2026-03-12;18072336.10
01972663000130;2026-03-12;17166905.36
01975502000109;2026-03-12;917727312.02
01978445000103;2026-03-12;5034670.89
01996007000178;2026-03-12;3252001931.22
02010147000198;2026-03-12;1292019111.88
02010153000145;2026-03-12;13616770.80
02020528000158;2026-03-12;183144999.48
02037763000132;2026-03-12;253815394.38
02039468000115;2026-03-12;6034806.67
02097252000106;2026-03-12;111509628.94
02097253000150;2026-03-12;1790402.66
02131724000108;2026-03-12;23514619.06
02131725000144;2026-03-12;16142468.34
02138442000124;2026-03-12;101708646.18
02143193000165;2026-03-12;860285.36
02143194000100;2026-03-12;368619666.55
02145108000106;2026-03-12;289387694.06
02162620000152;2026-03-12;60516490.13
02171479000154;2026-03-12;23115615.36
02177812000132;2026-03-12;83624924.42
02177815000176;2026-03-12;2400726.21
02185027000121;2026-03-12;680193382.19
02190541000155;2026-03-12;571307239.86
02198411000169;2026-03-12;46404003.90
02201163000168;2026-03-12;3096379338.29
02201164000102;2026-03-12;133248778.75
02222178000102;2026-03-12;31773333.50
02224354000145;2026-03-12;4866179985.94
02224382000162;2026-03-12;13285093156.53
02226122000126;2026-03-12;4323.50
02266145000164;2026-03-12;64041265140.98
02290048000107;2026-03-12;60011185.12
02290279000110;2026-03-12;1692657790.39
02290280000145;2026-03-12;3832441703.08
02290304000166;2026-03-12;1105275470.27
02290305000100;2026-03-12;1024071.15
02294024000126;2026-03-12;98417678.31
02294026000115;2026-03-12;2927120017.70
02296928000190;2026-03-12;3290728665.73
02297087000136;2026-03-12;57388709.77
02297533000102;2026-03-12;20953136.43
02323746000161;2026-03-12;64608156.02
02335944000145;2026-03-12;347113375.45
02343288000122;2026-03-12;1148991775.80
02367527000184;2026-03-12;3111982340.61
02430487000178;2026-03-12;645148041.79
02436763000105;2026-03-12;105170483.70
02444266000159;2026-03-13;329282191.56
02497034000169;2026-03-12;7651658.58
02498096000195;2026-03-13;921898982.73
02498188000175;2026-03-12;559463711.09
02498189000110;2026-03-12;222211201.68
02498190000144;2026-03-12;948208748.94
02498204000120;2026-03-12;68750912.99
02498604000135;2026-03-12;6364963.15
02506721000101;2026-03-12;20854509349.31
02513875000112;2026-03-12;33193864660.03
02536364000116;2026-03-12;7113196770.60
02537224000162;2026-03-12;37189468.42
02539921000152;2026-03-12;211288075.60
02543811000164;2026-03-12;630696719.21
02546749000164;2026-03-12;125469118.23
02561139000130;2026-03-12;1555228719.30
02561152000199;2026-03-12;602143292.21
02561193000185;2026-03-13;427433983.22
02567991000114;2026-03-12;438164078.69
02567996000147;2026-03-12;171885598.93
02567997000191;2026-03-12;310116816.73
02603461000184;2026-03-13;214970750.94
02650451000108;2026-03-12;66362613.41
02661252000197;2026-03-12;2637619.24
02661267000155;2026-03-12;8488421.52
02661317000102;2026-03-12;9466523.09
02661339000164;2026-03-12;12319727.26
02668201000197;2026-03-12;1836485167.11
02668765000120;2026-03-12;17229314.30
02668766000174;2026-03-12;64563058.74
02668779000143;2026-03-12;12715808.22
02668782000167;2026-03-12;28515254.54
02710116000140;2026-03-12;116948638.11
02724993000170;2026-03-12;26217262.20
02753973000127;2026-03-12;65170952.67
02763602000126;2026-03-12;58951629.94
02763747000127;2026-03-12;801352966.19
02764336000156;2026-03-12;108908730.06
02764357000171;2026-03-12;93902184.63
02764393000135;2026-03-12;33391777.58
02764418000109;2026-03-12;67559646.27
02764423000103;2026-03-12;46903176.41
02764427000191;2026-03-12;14849056.96
02764434000193;2026-03-12;34000597.32
02764937000169;2026-03-12;183467093.15
02770446000120;2026-03-12;264338561.27
02775809000110;2026-03-11;15506697.52
02775883000137;2026-03-11;7305345.70
02782911000143;2026-03-12;31606252.14
02786593000199;2026-03-12;2045789.08
02811681000101;2026-03-12;52868220.57
02838578000147;2026-03-12;293245756.54
02838583000150;2026-03-12;624444361.36
02846259000183;2026-03-12;110733602.73
02850835000166;2026-03-12;98796071.97
02850991000127;2026-03-12;6959871.41
02851024000180;2026-03-12;437846681.21
02867883000167;2026-03-12;1671784775.56
02885730000142;2026-03-10;3031114692.02
02885907000100;2026-03-12;6937127.19
02887290000162;2026-03-12;244653691.36
02887434000180;2026-03-12;130557873.65
02887456000140;2026-03-12;1040270.28
02887948000136;2026-03-12;1710393007.93
02895694000106;2026-03-12;88464464.33
02898519000164;2026-03-12;6219085.71
02898523000122;2026-03-12;17796607.88
02907506000104;2026-03-12;95589722.43
02907508000101;2026-03-12;144307513.63
02907512000161;2026-03-12;98583626.74
02907514000150;2026-03-12;281642587.49
02908347000162;2026-03-12;89697189.98
02910278000121;2026-03-12;9687510823.17
02911408000140;2026-03-12;1558206616.66
02911564000101;2026-03-12;106773648.13
02918923000152;2026-03-12;6829788.16
02918931000107;2026-03-12;28687352.17
02924217000113;2026-03-12;917250648.89
02924248000174;2026-03-13;146126121.86
02924262000178;2026-03-13;826562283.62
02934463000156;2026-03-12;149099051.19
02935723000108;2026-03-12;374721.36
02935788000153;2026-03-12;8250848.30
02935821000145;2026-03-12;12257162.94
02937672000153;2026-03-12;232441791.30
02939538000191;2026-03-12;119304411.81
02980941000164;2026-03-02;45031879.59
02998164000185;2026-03-12;35708806.94
02998239000128;2026-03-12;927111031.89
02998253000121;2026-03-12;449352540.75
02998275000191;2026-03-12;565803142.99
02998754000108;2026-03-12;650725141.15
02998773000134;2026-03-12;387819867.33
03001786000150;2026-03-12;4104024393.23
03009309000130;2026-03-11;51658070.29
03029216000178;2026-03-12;39597965.29
03047880000140;2026-03-12;6236168.07
03054724000106;2026-03-12;1691418.95
03068246000193;2026-03-12;59480450.62
03069104000140;2026-03-12;13483652535.63
03069107000184;2026-03-12;15449272.63
03076190000119;2026-03-12;3021224253.75
03077193000177;2026-03-12;42502655.27
03077322000127;2026-03-12;518710259.81
03077330000173;2026-03-12;161728364.60
03079923000179;2026-03-12;137231271.00
03099639000164;2026-03-12;201484140.96
03100345000105;2026-03-12;85074244.93
03100395000192;2026-03-13;368201666.43
03101834000181;2026-03-12;1532435756.66
03102070000149;2026-03-12;140723317.49
03102081000129;2026-03-12;27551474.26
03119883000141;2026-03-12;80189520.45
03149243000184;2026-03-12;573445606.82
03157983000162;2026-03-12;575475314.36
03162048000194;2026-03-13;99702603.63
03164294000185;2026-03-12;959452699.20
03168062000103;2026-03-12;245396981.10
03168115000188;2026-03-11;33634438.54
03173729000158;2026-03-12;90683179.93
03182559000178;2026-03-12;292413052.80
03184103000147;2026-03-12;106349522.95
03184134000106;2026-03-12;117683863.41
03184233000180;2026-03-12;3044237345.20
03185374000117;2026-03-12;1232027989.99
03185710000121;2026-03-12;87260909.23
03186097000167;2026-03-12;13737667.57
03187084000102;2026-03-12;3263105581.41
03191766000199;2026-03-12;6558266.75
03191854000190;2026-03-12;171185361.29
03191874000161;2026-03-12;91961201.54
03191877000103;2026-03-12;146911834.72
03193454000114;2026-03-12;24785920.30
03206300000110;2026-03-12;341102385.53
03208891000164;2026-03-12;129839206.43
03209409000100;2026-03-12;27245054.39
03211632000192;2026-03-13;1287742223.53
03211696000193;2026-03-13;37033247.26
03213328000184;2026-03-12;1968634.61
03218183000104;2026-03-12;28062676.39
03230512000132;2026-03-12;2041838.59
03233070000188;2026-03-12;4352510771.21
03233076000155;2026-03-12;3353290134.53
03235396000144;2026-03-12;1161072.12
03239726000170;2026-03-12;340206737.90
03243641000165;2026-03-12;986141894.84
03256737000168;2026-03-12;61188190.09
03256752000106;2026-03-12;78266929.57
03256754000103;2026-03-12;61918056.69
03256787000145;2026-03-12;101773212.31
03256788000190;2026-03-12;122071204.48
03256793000100;2026-03-12;11907061812.47
03256797000180;2026-03-12;4318904101.89
03271093000187;2026-03-12;407773075.24
03271099000154;2026-03-12;501071176.58
03276503000182;2026-03-12;119743466.86
03287127000121;2026-03-12;21387242.57
03288421000158;2026-03-12;172351806.72
03295134000175;2026-03-12;17448731.92
03298200000160;2026-03-12;14802063413.60
